f08924a4 AbilityHaste
155f244b ColorRenderFlags
f0ec2f06 ColorblindColor
077c4e3f ColorblindData
373e7575 ColorblindGlowColor
8be090f2 ColorblindOutlineColor
125f7f6e ColorblindPalette
9b6dceee ColorblindShadowColor
1c9772b0 ColorblindTextureFile
468da513 ColorblindVisibility
f8f489b1 Colors
6b8648e5 Column0LabelTraKey
758026f0 Column1LabelTraKey
34c7d48f Column2LabelTraKey
41df9215 CombinableCounterCategory
40b53231 CombinableCounterDisplay
0de5f1fe CombinableNegativeNumberFormat
91b41045 CombinableNumberFormat
fa957187 ComboBoxDefinition
14ff2afd CommonElements
376fbc1d CommonlyBuiltIconDefinition
0d47a855 CompanionInfoPanel
56ecde12 Companions
a4fcbf59 ComparisonByLevel
365d9de2 CompletedSoundPath
868eb76a ComplexEmitterDefinitionData
1bf51169 Components
d212fabe Condition
80e0d0b7 Conditions
fe497a32 ConeAngleDegrees
3b98458c ConeCheckFlagOverride
381c24c1 ConeFollowsEnd
eb34d5d7 ConeRange
b2c3d7b9 Configuration
c072a4f2 ConfirmButtonDefinition
429b4e07 ConfirmButtonIcons
151d3b4d ConnectionButton
b4b427aa ConstantValue
adb3e562 Constants
7cf816e2 ConstraintPosLocator
6abab6c7 ConstraintRange
e76c9b56 ConsumablesPanelDefinition
80e24428 ConsumeOnAcquire
4e3683bf Consumed
54d3f7cf ContentId
b9e79a12 ContentScene
dd2f145a ContextualActionRuleConfigFile
baf299d5 ContinualForceX
7ecea188 ContinualForceXBase
b9f29842 ContinualForceY
6e2e7d1f ContinualForceYBase
9acc1fc1 ContinueButtonDefinition
042576f3 ControlPoint1
05257886 ControlPoint2
b3e7c1fb CooldownSpellQueueing
9ecac3a1 CooldownTime
3fdcc22e CooldownTimeSeconds
7bd6c7e0 CooldownVoiceOver
f38e6a9f CostText
1df75d2e CostTextSelected
d2e9b1b7 CostTextUnpurchaseable
39b1ddf4 Count
bc7fb120 Countdown
d67b90f2 CritAttacks
8afc08bf CritDamageMultiplier
3ff62242 CritPerLevel
2226ab34 CriticalAttack
e3cf2582 CriticalStrike
e5561300 Cue
4b0f55ce CullEnable
11e50af6 CurrentExpText
782dfa79 CurrentPlayerHighlight
dafe4144 CurrentRatingText
2bce6144 CursorDataInGds
a3fa11d8 CursorScaling
676d35d4 CursorUiUpdate
796fb247 CustomExclusions
1aaa051f CustomHealthBarTemplate
6d8d5bf1 CustomInclusions
bb429484 CustomSequences
fb910cc2 CustomTable
cc60e6a2 CycleBasedScaleAddition
e70c8908 CycleTime
a0dc95ba DamageBuffName
4293e6ae DamageDisplayData
0a671d7b DamageFlowTakeDealDamageFlip
ae5fa9b7 DamagePerLevel
d17c71e5 DamageProperties
661bf241 DamageSkinInfoPanel
397db5c1 DamageTagDefinition
871c0429 DamageTags
f6f283a3 DamageTakenPie
2eedede5 DarkColoration
d872e2a5 Data
aae01626 DataCollections
b4b13a2d DataType
bd28bd4d Death
5d19c62e DeathEventListeningRadius
93f230bf DeathEventType
0198b2f4 DeathRecapRework
1ddf1633 DeathRecapShowcaseUi
0d707920 DeathRecapTransitionIn
5b30d065 DeathRecapTransitionOut
b4c6360c DeathTime
5864ed98 Debug
726b2aa4 DebugCharacterLists
1da36d92 DebugPrintCcScoreToChat
d315e55d Decay
cbaf0880 DecayDelay
933b5bde Default
73e8c79a DefaultAdjustments
edf1840c DefaultAnimation
123393ed DefaultAnimations
d603f9d5 DefaultBlankMaterial
15bfbe28 DefaultCharacterStats
8e6ce07e DefaultData
2ffc1bc2 DefaultIndex
fe7cef23 DefaultMaterial
4ac45539 DefaultPalette
37fd915d DefaultSound
db62c463 DefaultState
1bf466b2 DefaultStateElements
28da4278 DefaultTechnique
4f50f19a DefaultTextureName
32b374fa DefaultTexturePath
0617e21f DefaultValue
1eb71cc8 DefaultWordWrapMargin
27f7a183 DefeatBannerSound
47f3fb40 DefeatMusicId
94db3c09 DefenseDownL1Percent
495d9b1e DefenseDownL2Percent
1ed81f17 DefenseDownL3Percent
476e1562 DefenseIconData
65fa82a2 DefenseModifierData
51afd9e4 DefenseModifierIcons
97374ff9 DefenseRank
46bbdc5f DefenseUpPercent
84145ca0 Definition
4ed1f1d8 Delay
18330965 DelayCastOffsetPercent
3a4c4690 DelayTotalTimePercent
1f661402 DeltaIn
7f52f79b DeltaOut
67b5d729 DepthBiasFactors
a0c7176b DepthCompareFunc
d2507939 DepthEnable
2c677584 DepthFadeInBegin
3cc05295 DepthFadeInOneOverWidth
0bfc20d5 DepthFadeOutBegin
aaaf9d92 DepthFadeOutOneOverWidth
fd51260c DepthOffsetBias
040869d0 DepthOffsetSlope
83030020 Desc
346f3b69 Description
a51a09ee Descriptions
9a032455 Dest
b2de64bf Destination
01da971e DestroyOnCompletion
4ebb0d28 DetachedAnimationParticlesUseOwnerVisibility
de45833d DetailsTraKey
a15b1f92 DetailsTransitionData
59391a1a DeterministicRandom
bce6912e DifficultyRank
c8a3e804 Diffusion
514a365c DirectedTrackingElement
df6dc76a Direction
ebd44083 DirectionVelocityMinScale
7ad984a5 DirectionVelocityScale
cded8c63 Disable
4bc37f00 DisableAllSkins
498f96ad DisableAutoSnr
3c91cebd DisableBackfaceCull
a4aefed3 DisableDdr
336b8266 DisableDisasterRecovery2Temporary
11a57f5f DisableHorizontalReverse
7d19fee1 DisableRenderUiChatFrames
92daa0f7 DisableRenderUiChatOsx
6347bcb8 DisableRenderUiChatWindows
656167df DisableSpellLevelMinimumProtections
8e6d8a28 DisableStatFilters
4e7c06c9 DisableSubFrameThrottles
d32430e5 DisableVerticalReverse
33f36f05 Disabled
8e2676a9 DisabledIds
42ab4c4a DisabledRegions
cd11c337 DisabledTargetLaserEffects
b44b0b57 Disarm
54819796 Disarmed
072d935c DisplayElements
4fd51a36 DisplayName
cd255b9e DisplayNameTraKey
e89ff5ca DisplayTypes
99ab9d4e DisplayVisionScoreOnScoreboard
a6248fb6 Dissipation
2eb31462 Distance
7100c365 DistanceOffset
65351b20 DistanceToNotTrollPingCorpses
bc5efeaa Distortion
bc809cdb DistortionDefinition
40c58b71 DistortionMode
232c53d0 Dodge
9b4ed6e7 DodgePerLevel
b5158067 DoesCastShadow
79a8b75b DoesLifetimeScale
e21d4240 DoesNotGiveMinionScore
10ea55cd DoesParticleLifetimeScale
9c27db83 DontRefCountTargetableAndInvulnerable
d3689f20 Dot
f3cd2188 DotNoCombine
da701865 DotSlow
06216465 DoubleSided
b88c0d43 Drag
0dfd634b DragRegion
4652f49d DragRegionElement
f810361e Dragon
a0f67682 DragonFury
543e52eb DrawType
c803c9f6 DrawingLayer
e55419df Driver
2b064793 DropRateTables
ac7a0dc5 Drowsy
7385e534 DstAlphaBlendFactor
be0abbf5 DstColorBlendFactor
a577c8db Dummy
2fa0fd0d Duration
2384105a DurationWithoutSound
86875ff3 DynamicMaterial
851facf4 DynamicParams
7085a6d6 DynamicSwitch
9bc6966b DynamicSwitchId
6fabf9a6 DynamicTextures
bc037de7 Dynamics
007d6657 EarthColoration
5ba19e7c EarthDrake
73463200 EasingType
05537a1b Easy
56f6d83c Edge
90ab5b95 Education
6e6e8d54 Effect
c13d6d31 EffectAmounts
0f383923 EffectDelay
1d71c6e2 EffectFile
9b0300f3 EffectKey
48130c4f EffectName
91879aca EffectRadius
5c1fc8bc EffectType
6c5e591c ElderDrake
5a94b0cc Elements
3e1c2d84 EmblemLinks
2135c4d4 EmissionMeshName
bda98597 EmissionMeshScale
5452d898 EmissionSurfaceDefinition
9a934591 EmissiveTexture
e5f268dd EmitOffset
07f41838 EmitRotationAngles
d1789c65 EmitRotationAxes
3bc59eb6 EmitterLinger
3d25b8ce EmitterName
52010b69 EmitterUvScrollRate
e19d1593 EmitterUvScrollRateMult
29306858 EmoteBuffbone
681a812f EmoteInfoPanel
f0f7a695 EmoteLoadout
5909d642 EmotePopupDisplayTime
911be685 EmoteStartButton
cb80af27 EmoteVictoryButton
ad003e37 EmoteWheelCenterButton
623567bf EmoteWheelLeftButton
02a31cbf EmoteWheelLowerButton
21bd5f54 EmoteWheelRightButton
1f30e7ae EmoteWheelUpperButton
e862b379 EmoteYOffset
a5fc4ee8 EmpoweredArrivalFile
c007a116 EmpoweredEffectFile
6fb394db EnableCustomPlayerScoreColoring
fea35e52 EnableExtendedTooltip
065db9cf EnableUnitStatusHealthBarNames
02f3b39e Enabled
6a8e75aa End
3adcf3d2 EndAlpha
4f2cd510 EndLocator
2c317acb EndOfGameAlias
3e6eebf5 EndPosition
5bf31310 EndingJointForTrailFollowTemp
69ea6dab Enemy
f365a945 EnemyChampSpecificHealthSuffix
ed38c5a4 EnemyElementGroup
e0c6260a EnemyElements
15505df2 EnemyMagicalDamage
7158618f EnemyMagicalDamageCritical
918929db EnemyPhysicalDamage
cf8231fa EnemyPhysicalDamageCritical
618581ea EnemyTooltip
9cd9c316 EnemyTrueDamage
6f720713 EnemyTrueDamageCritical
29cc5095 Energy
6246290c EnlargeSize
c245e974 EnlargeTime
6f5882f3 Entries
a8a3777b EnvironmentShIrradiance
64e11f77 EpicGameIcon
b3d8f4b2 EpicGameIconFull
d1f55da4 EpicGameIconLit
bc702c01 EpicGameIconUnlit
57f4d047 EpicStatStone
5ee3c453 Epicness
39ad7a1b EquipButton
c6fbacd5 ErosionDriveCurve
d3f8680f ErosionDriveSource
34bee0ea ErosionFeatherIn
2244caa3 ErosionFeatherOut
2b32227b ErosionMapAddressMode
b0794a80 ErosionMapChannelMixer
5da05f9b ErosionMapName
7c7970d8 ErosionSliceWidth
1bffa622 ErrorText
5a6d11ed EsportCharacter
5129beed EsportLeagueTable
e0744f90 EsportTeamMatchingTable
6ba634bd EsportTeamTable
4158aeed EsportsEventMutator
b9a56802 EsportsTeam
f10a1a1f EventMutator
2a078c9c EventName
4a43d984 EventNameTraKey
b4d66609 EventToTrack
12d8e384 Events
8ff5f744 EventsToTrack
6d31463e EvolutionData
fa640713 ExcludedAttachmentTypes
cc84e4ea ExpGivenOnDeath
8944ef10 ExpandButtonDefinition
e467132e ExpandedByDefault
92f1f329 Experience
70d7d677 ExperienceRadius
56f8bd50 ExtendTimeOnNewDamage
766c34e6 ExtraAttacks
660c8b4e ExtraCharacterPreloads
f549ff11 ExtraInfo
8c1da1da ExtraSpells
558aca8f EyeCandy
aacfd877 FaceVelocity
5c2046ed FacingLine
f16d8413 Fade
3939118f FadeAcceleration
1db30452 FadeAngle
0a131672 FadeColor
bd14855b FadeData
8e3e2923 FadeHoldTime
77cd7e28 FadeInData
d8fb5a45 FadeOutData
ebedd74e FadeSpeed
d95c355c FailedSoundPath
2c9338ea FairyColoration
7c82be94 FallbackDirection
6370ff58 FalloffColor
c61cab67 FalloffRate
a5b8cdf4 FalloffTexture
bcf819ee Far
c2049353 FarLeftIconSize
81e09bd8 FarLeftOffset
17f4ca3c FarRightIconSize
9e9e297f FarRightOffset
cd3e9607 Fear
e4ba733d Feature
ae29287b FeatureDefines
25b76221 FeatureMask
5f8383ca Features
96f6d338 Ferocity
5d60e987 FieldAccelerationDefinitions
c3e452a8 FieldAttractionDefinitions
ae4f2c3a FieldCollectionDefinition
b639c899 FieldDragDefinitions
fa390047 FieldNoiseDefinitions
8bac98d3 FieldOfView
6a906762 FieldOrbitalDefinitions
0640657c Fields
e76d37d6 FightRecapUiData
3f110988 Filename
3ee74090 Files
fd19bd42 FillPattern
8feda1c8 FillTextureName
c7e16877 Filter
4044d30e FilterMag
19310df1 FilterMin
23311daf FilterMip
4c3c84af FilterType
abd6be4c Filters
b5e896c7 FinisherParticleFriendlyName
6794b612 FinisherParticleId
802d9047 FinisherParticleTroyFile
23925b89 FireColoration
40785f22 FireDrake
6419f82d FirstAcquisitionRange
9a68e0da FirstItem
29b671c4 FirstSelectionAnimationDelay
109f3662 FixedAlphaScrolling
ddf13ae6 FixedLoadScreenPosition
bcddc583 FixedOrbitType
4e08731b FlagDefinitions
81a7a5ec FlagRange
9c677a2c Flags
90f00469 FlashDuration
6672ac04 FlashTriggerPercent
9fdc5a73 FlatMpPoolMod
d5f6c8c8 FlatMpRegenMod
dfe05101 Flee
da5d575f Fleeing
0ffb567f FlexBirthRotationalVelocity
77a8de5d FlexBirthRotationalVelocity0
76a8dcca FlexBirthRotationalVelocity1
8eec1116 FlexBirthTranslation
be07adeb FlexBirthUvScrollRate
b7c94dad FlexBirthUvScrollRateMult
24d0ae4b FlexBirthUvoffset
9f609af8 FlexBirthVelocity
817da519 FlexInstanceScale
e3078fb5 FlexOffset
6fc4ee2f FlexParticleLifetime
772eece0 FlexRate
2b779145 FlexScaleBirthScale
77a68250 FlexScaleEmitOffset
10449b28 FlexUvScroll
27c9da66 FlexUvScrollMult
71451ad4 FluidDynamicsDefinition
ffd7226d FluidPartName
4896f2da FogAlternateColor
023b1fce FogColor
3212e07d FogColorA
2f12dbc4 FogColorB
2c12d70b FogColorG
3f12f4f4 FogColorR
27bdd641 FogEmissiveRemap
c9e5a648 FogEnable
00849744 FogEnabled
3f18b459 FogLowQualityModeEmissiveRemap
72a72173 FogStartAndEnd
5b6c4f70 Follow
033d98d7 FollowPath
d77c0415 FollowSource
10c450de FontFilePathBold
6b777382 FontFilePathItalics
d6c0ce13 FontName
28c538e1 FontSize
dc5cd8f1 FontTypes
4428d332 ForbiddenWordList
a7d1e648 ForceLoad
3458f92b FormatString
b6f5e3b2 FormulaPartRangeStyle
22203dd5 FormulaPartRangeStyleBonus
457f48aa FormulaPartRangeStyleBonusPercent
17788ae3 FormulaPartRangeStylePercent
1edf3401 FormulaPartStyle
9ba89630 FormulaPartStyleBonus
15a3d8c1 FormulaPartStyleBonusPercent
e797836e FormulaPartStylePercent
b0f389dc Fov
4e7a0a52 FowCastRayAccurate
65237bf0 FragmentShader
bb396953 FrameIcon
9b111ae4 FrameRate
c434b2e2 FrameRateMult
ff72f56a FramesPerSecond
2fb31c01 Frequency
9137d3b8 Fresnel
258776e4 FresnelBlue
38ec08cf FresnelColor
0d6bb10b FresnelGreen
78f890ff FresnelRed
dc849b9c FriendButtonDefinition
a052fb1d FriendEditButton
f86554fc FriendInviteButton
7d6c1bc5 FriendlyTooltip
be710a63 FriendlyUxOverrideExcludeTagsString
f6af0f2d FriendlyUxOverrideIncludeTagsString
7e80419a FriendlyUxOverrideTeam
ee4a77b4 FromSlotId
23b0c558 FrontTextureName
c291a37a FullLossIcon
08706237 FullName
9ed64249 Function
ed7c7d0c FunctionDefinition
32e358c5 GainedExpText
1f8c185d GainedRatingText
ca571faf GameIconFull
74ee6ab3 GameIconLit
615e74e1 GameIconMini
dfd76796 GameIconUnlit
ddeddc60 GameMode
ec6ea11c GameModeCharacterLists
8fea3d1e GameModeCustom1
8eea3b8b GameModeCustom2
5d2489ca GameModeDescription
0bf2ebe3 GameModeName
95bd7dd7 GameMutator
d9363ec8 GameQuitEvent
f7eff847 GameStartEvent
1d094fe6 GameTexture
cfe609d6 GeneralSettings
